day,minsPlayed
2025-06-03,52.2236
2025-06-04,69.2399
2025-06-05,246.2352
2025-06-06,376.3313
2025-06-07,5.6429
2025-06-08,59.1079
2025-06-09,45.5090
2025-06-10,116.5525
2025-06-11,158.5588
2025-06-12,115.0346
2025-06-13,149.5771
2025-06-14,20.9580
2025-06-15,49.2281
2025-06-16,66.2099
2025-06-17,95.3819
2025-06-18,108.9045
2025-06-19,99.8280
2025-06-20,247.3303
2025-06-21,76.0772
2025-06-22,108.6023
2025-06-24,181.0912
2025-06-25,180.2246
2025-06-26,224.6735
2025-06-27,132.0961
2025-06-28,99.7542
2025-06-29,45.0179
2025-06-30,52.4398
2025-07-01,91.7324
2025-07-02,187.5902
2025-07-03,94.2106
2025-07-04,141.2174
2025-07-05,133.5005
2025-07-06,98.5113
2025-07-07,123.6998
2025-07-08,51.1714
2025-07-09,72.4357
2025-07-15,4.4421
2025-07-16,6.1061
2025-07-18,39.7146
2025-07-19,19.0115
2025-07-20,136.8428
2025-07-21,56.8577
2025-07-22,93.6691
2025-07-23,326.9595
2025-07-24,48.2409
2025-07-25,33.9234
2025-07-26,121.3248
2025-07-27,12.0761
2025-07-29,100.3788
2025-07-30,33.8184
2025-07-31,19.8271
2025-08-01,6.5233
2025-08-02,64.2172
2025-08-03,35.9006
2025-08-04,160.3407
2025-08-06,73.2986
2025-08-07,93.5045
2025-08-08,41.1583
2025-08-09,37.4266
2025-08-10,167.6786
2025-08-11,40.6832
2025-08-12,34.8182
2025-08-13,33.6922
2025-08-14,154.2219
2025-08-15,61.5407
2025-08-16,123.7833
2025-08-17,133.8229
2025-08-18,35.2658
2025-08-19,10.2672
2025-08-20,22.6485
2025-08-21,150.2718
2025-08-22,123.6485
2025-08-23,38.6999
2025-08-24,53.9749
2025-08-25,34.1034
2025-08-26,73.5443
2025-08-27,63.9720
2025-08-29,16.4343
2025-08-30,44.3865
2025-08-31,40.3995
2025-09-01,11.6662
2025-09-02,51.4615
2025-09-03,233.1597
2025-09-04,305.0881
2025-09-05,341.9493
2025-09-06,66.6449
2025-09-07,44.7240
2025-09-08,56.4994
2025-09-09,97.1503
2025-09-10,256.0249
2025-09-11,93.2477
2025-09-12,528.7383
2025-09-13,23.7150
2025-09-14,28.0446
2025-09-17,86.8064
2025-09-18,247.2392
2025-09-19,126.2824
2025-09-20,84.6245
2025-09-21,107.5969
2025-09-22,232.0214
2025-09-23,71.9580
2025-09-24,197.4750
2025-09-25,201.7426
2025-09-26,105.4346
2025-09-27,322.8219
2025-09-28,352.8549
2025-09-29,212.2771
2025-09-30,237.5448
2025-10-01,193.2696
2025-10-02,168.9965
2025-10-03,294.3770
2025-10-04,105.7376
2025-10-05,148.2311
2025-10-06,184.0439
2025-10-07,52.6970
2025-10-08,348.9818
2025-10-09,183.2065
2025-10-10,280.9249
